Indonesia ,Inggris
Apel,Apple
Alpukat,Avocado
Anggur,Grape
Belimbing,Starfruit
Bengkuang,Jicama
Blewah,Winter melon
Ceri,Cherry
Duku,Langsat
Durian,Durian
Jambu air,Rose apple
Jambu biji,Guava
Jambu monyet,Rambutan
Jeruk,Orange
Jeruk Bali,Pomelo
Jeruk nipis,Lime
Jering,Archidendron pauciflorum
Kelapa,Coconut
Kelengkeng,Longan
Kepel,Bilimbi
Kiwi,Kiwi
Kurma,Dates
Langka,Jackfruit
Leci,Lychee
Lemon,Lemon
Limau,Kaffir lime
Mangga,Mango
Markisa,Passion fruit
Melon,Melon
Nanas,Pineapple
Nangka,Jackfruit
Pepaya,Papaya
Pisang,Banana
Rambutan,Rambutan
Salak,Snake fruit
Sawo,Sapodilla
Semangka,Watermelon
Sirsak,Soursop
Stroberi,Strawberry
Terong Belanda,Bitter melon
Tin,Figs
Tomat,Tomato
